EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10107759,OKLAHOMA,1980,May,Tornado,C,JACKSON,0,0,0,0,0K,0,F0
10107760,OKLAHOMA,1980,May,Hail,C,WOODWARD,0,0,0,0,0,0,
10107761,OKLAHOMA,1980,May,Hail,C,COMANCHE,0,0,0,0,0,0,
10107762,OKLAHOMA,1980,May,Hail,C,COTTON,0,0,0,0,0,0,
10107763,OKLAHOMA,1980,May,Hail,C,STEPHENS,0,0,0,0,0,0,
10107764,OKLAHOMA,1980,May,Hail,C,STEPHENS,0,0,0,0,0,0,
10107765,OKLAHOMA,1980,May,Hail,C,JACKSON,0,0,0,0,0,0,
10107766,OKLAHOMA,1980,May,Thunderstorm Wind,C,MURRAY,0,0,0,0,0,0,
10115876,PENNSYLVANIA,1980,June,Thunderstorm Wind,C,WESTMORELAND,0,0,0,0,0,0,
10115877,PENNSYLVANIA,1980,June,Thunderstorm Wind,C,BLAIR,0,0,0,0,0,0,
10115878,PENNSYLVANIA,1980,June,Tornado,C,ADAMS,0,0,0,0,2.5M,0,F2
10115879,PENNSYLVANIA,1980,June,Tornado,C,ADAMS,0,0,0,0,250K,0,F3
10115881,PENNSYLVANIA,1980,June,Thunderstorm Wind,C,LACKAWANNA,0,0,0,0,0,0,
10115882,PENNSYLVANIA,1980,June,Tornado,C,LANCASTER,0,0,0,0,25K,0,F1
10115883,PENNSYLVANIA,1980,June,Tornado,C,CAMBRIA,0,0,0,0,0K,0,F0
10115884,PENNSYLVANIA,1980,June,Tornado,C,CAMBRIA,0,0,0,0,2.5M,0,F2
10115885,PENNSYLVANIA,1980,June,Tornado,C,CRAWFORD,0,0,0,0,2.5K,0,F0
10115886,PENNSYLVANIA,1980,June,Hail,C,CHESTER,0,0,0,0,0,0,
10115887,PENNSYLVANIA,1980,June,Tornado,C,FAYETTE,0,0,0,0,.25K,0,F0
9996747,GEORGIA,1980,July,Thunderstorm Wind,C,CHATTAHOOCHEE,0,0,0,0,0,0,
9996748,GEORGIA,1980,July,Thunderstorm Wind,C,WHITFIELD,0,0,0,0,0,0,
10107758,OKLAHOMA,1980,May,Hail,C,JACKSON,0,0,0,0,0,0,
10124980,SOUTH DAKOTA,1980,June,Thunderstorm Wind,C,CODINGTON,0,0,0,0,0,0,
10017327,INDIANA,1980,April,Thunderstorm Wind,C,MARION,0,0,0,0,0,0,
10017328,INDIANA,1980,April,Hail,C,GRANT,0,0,0,0,0,0,
10017329,INDIANA,1980,May,Hail,C,OWEN,0,0,0,0,0,0,
10017330,INDIANA,1980,May,Hail,C,JOHNSON,0,0,0,0,0,0,
10017331,INDIANA,1980,May,Hail,C,ST. JOSEPH,0,0,0,0,0,0,
10017332,INDIANA,1980,May,Hail,C,JOHNSON,0,0,0,0,0,0,
10017333,INDIANA,1980,May,Hail,C,ST. JOSEPH,0,0,0,0,0,0,
10017334,INDIANA,1980,May,Hail,C,HANCOCK,0,0,0,0,0,0,
9997608,GEORGIA,1980,July,Thunderstorm Wind,C,NEWTON,0,0,0,0,0,0,
9997609,GEORGIA,1980,July,Hail,C,DE KALB,0,0,0,0,0,0,
10115868,PENNSYLVANIA,1980,June,Tornado,C,INDIANA,0,0,0,0,250K,0,F2
10115869,PENNSYLVANIA,1980,June,Hail,C,WASHINGTON,0,0,0,0,0,0,
10115870,PENNSYLVANIA,1980,June,Thunderstorm Wind,C,DAUPHIN,0,0,0,0,0,0,
10115871,PENNSYLVANIA,1980,June,Thunderstorm Wind,C,NORTHAMPTON,0,0,0,0,0,0,
10115872,PENNSYLVANIA,1980,June,Thunderstorm Wind,C,BERKS,0,0,0,0,0,0,
10115873,PENNSYLVANIA,1980,June,Thunderstorm Wind,C,PHILADELPHIA,0,0,0,0,0,0,
10115874,PENNSYLVANIA,1980,June,Thunderstorm Wind,C,WESTMORELAND,0,0,0,0,0,0,
10115875,PENNSYLVANIA,1980,June,Thunderstorm Wind,C,CAMBRIA,0,0,0,0,0,0,
10100021,OHIO,1980,July,Thunderstorm Wind,C,ROSS,0,0,0,0,0,0,
10100022,OHIO,1980,July,Thunderstorm Wind,C,DELAWARE,0,0,0,0,0,0,
10100023,OHIO,1980,July,Thunderstorm Wind,C,KNOX,0,0,0,0,0,0,
10100024,OHIO,1980,July,Thunderstorm Wind,C,ASHLAND,0,0,0,0,0,0,
