EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
9984606,COLORADO,1981,August,Thunderstorm Wind,C,DOUGLAS,0,0,0,0,0,0,
10068900,NEBRASKA,1981,June,Thunderstorm Wind,C,BOONE,0,0,0,0,0,0,
10067668,NEBRASKA,1981,April,Thunderstorm Wind,C,SAUNDERS,0,0,0,0,0,0,
10061153,MISSISSIPPI,1981,May,Hail,C,RANKIN,0,0,0,0,0,0,
9976256,ALABAMA,1981,April,Tornado,C,RUSSELL,23,0,2,0,25M,0,F3
9976257,ALABAMA,1981,April,Thunderstorm Wind,C,BUTLER,0,0,0,0,0,0,
9976258,ALABAMA,1981,April,Thunderstorm Wind,C,RUSSELL,0,0,0,0,0,0,
9976259,ALABAMA,1981,April,Thunderstorm Wind,C,LAUDERDALE,0,0,0,0,0,0,
9976261,ALABAMA,1981,April,Thunderstorm Wind,C,ELMORE,0,0,0,0,0,0,
9976262,ALABAMA,1981,May,Thunderstorm Wind,C,CULLMAN,0,0,0,0,0,0,
9976263,ALABAMA,1981,May,Thunderstorm Wind,C,MORGAN,0,0,0,0,0,0,
9976264,ALABAMA,1981,May,Tornado,C,MARSHALL,0,0,0,0,25K,0,F1
9976265,ALABAMA,1981,May,Thunderstorm Wind,C,DEKALB,0,0,0,0,0,0,
9976266,ALABAMA,1981,May,Hail,C,CALHOUN,0,0,0,0,0,0,
9976267,ALABAMA,1981,May,Thunderstorm Wind,C,LAMAR,0,0,0,0,0,0,
9976268,ALABAMA,1981,May,Thunderstorm Wind,C,WALKER,0,0,0,0,0,0,
9976269,ALABAMA,1981,May,Thunderstorm Wind,C,MARSHALL,0,0,0,0,0,0,
9976270,ALABAMA,1981,June,Hail,C,MARENGO,0,0,0,0,0,0,
9976271,ALABAMA,1981,June,Thunderstorm Wind,C,JEFFERSON,0,0,0,0,0,0,
9976272,ALABAMA,1981,June,Thunderstorm Wind,C,LIMESTONE,0,0,0,0,0,0,
9976273,ALABAMA,1981,June,Thunderstorm Wind,C,LAWRENCE,0,0,0,0,0,0,
9976274,ALABAMA,1981,June,Thunderstorm Wind,C,MADISON,0,0,0,0,0,0,
10053858,MINNESOTA,1981,July,Tornado,C,BECKER,0,0,0,0,.03K,0,F0
10051529,MINNESOTA,1981,July,Hail,C,NICOLLET,0,0,0,0,0,0,
9976214,ALABAMA,1981,March,Thunderstorm Wind,C,LEE,0,0,0,0,0,0,
9976215,ALABAMA,1981,March,Hail,C,TUSCALOOSA,0,0,0,0,0,0,
9976216,ALABAMA,1981,March,Thunderstorm Wind,C,MONTGOMERY,0,0,0,0,0,0,
9976217,ALABAMA,1981,March,Thunderstorm Wind,C,MONTGOMERY,0,0,0,0,0,0,
9976218,ALABAMA,1981,March,Tornado,C,MONTGOMERY,0,0,0,0,.25K,0,F1
9976219,ALABAMA,1981,March,Hail,C,MONTGOMERY,0,0,0,0,0,0,
9976220,ALABAMA,1981,March,Hail,C,DALLAS,0,0,0,0,0,0,
9976221,ALABAMA,1981,March,Hail,C,JEFFERSON,0,0,0,0,0,0,
9976222,ALABAMA,1981,March,Tornado,C,BULLOCK,0,0,0,0,250K,0,F1
9976223,ALABAMA,1981,March,Tornado,C,CLAY,0,0,0,0,25K,0,F1
9976224,ALABAMA,1981,March,Thunderstorm Wind,C,MOBILE,0,0,0,0,0,0,
9976225,ALABAMA,1981,March,Hail,C,GENEVA,0,0,0,0,0,0,
10054977,MINNESOTA,1981,May,Hail,C,RICE,0,0,0,0,0,0,
9976226,ALABAMA,1981,March,Hail,C,DALE,0,0,0,0,0,0,
9976227,ALABAMA,1981,March,Hail,C,CONECUH,0,0,0,0,0,0,
9976228,ALABAMA,1981,March,Hail,C,WASHINGTON,0,0,0,0,0,0,
9976229,ALABAMA,1981,March,Hail,C,MONROE,0,0,0,0,0,0,
9976230,ALABAMA,1981,March,Hail,C,CONECUH,0,0,0,0,0,0,
9976231,ALABAMA,1981,March,Hail,C,COFFEE,0,0,0,0,0,0,
9976232,ALABAMA,1981,March,Thunderstorm Wind,C,MOBILE,0,0,0,0,0,0,
9976233,ALABAMA,1981,March,Hail,C,DALE,0,0,0,0,0,0,
9976234,ALABAMA,1981,March,Tornado,C,BALDWIN,0,0,0,0,0K,0,F1
9976235,ALABAMA,1981,March,Hail,C,HOUSTON,0,0,0,0,0,0,
9976236,ALABAMA,1981,March,Thunderstorm Wind,C,HOUSTON,0,0,0,0,0,0,
9976237,ALABAMA,1981,March,Thunderstorm Wind,C,MOBILE,0,0,0,0,0,0,
9976238,ALABAMA,1981,March,Thunderstorm Wind,C,LAMAR,0,0,0,0,0,0,
9976239,ALABAMA,1981,March,Tornado,C,DALLAS,0,0,0,0,25K,0,F1
9976240,ALABAMA,1981,March,Tornado,C,DALLAS,0,0,0,0,2.5K,0,F1
9976241,ALABAMA,1981,March,Thunderstorm Wind,C,DALLAS,0,0,0,0,0,0,
9976242,ALABAMA,1981,March,Thunderstorm Wind,C,ELMORE,0,0,0,0,0,0,
9976243,ALABAMA,1981,March,Thunderstorm Wind,C,BUTLER,0,0,0,0,0,0,
9976244,ALABAMA,1981,March,Tornado,C,CLAY,0,0,0,0,25K,0,F1
9976245,ALABAMA,1981,March,Thunderstorm Wind,C,AUTAUGA,0,0,0,0,0,0,
9976246,ALABAMA,1981,March,Thunderstorm Wind,C,ELMORE,0,0,0,0,0,0,
9976247,ALABAMA,1981,March,Thunderstorm Wind,C,CRENSHAW,0,0,0,0,0,0,
9976248,ALABAMA,1981,March,Thunderstorm Wind,C,MONTGOMERY,0,0,0,0,0,0,
9976249,ALABAMA,1981,March,Thunderstorm Wind,C,TALLAPOOSA,0,0,0,0,0,0,
9976250,ALABAMA,1981,March,Thunderstorm Wind,C,PIKE,0,0,0,0,0,0,
9976251,ALABAMA,1981,March,Thunderstorm Wind,C,LEE,0,0,0,0,0,0,
9976252,ALABAMA,1981,March,Thunderstorm Wind,C,RUSSELL,0,0,0,0,0,0,
